"nom";"debut";"fin";"niveau";"ressources"
"developpement";;;"1"
"Réfléxion sur les actis du village NND";"20/6/2018";"30/9/2018";"2";"2"
"choix projets professionalisation village NND";"20/6/2018";"30/9/2018";"2";"2"
"Gestion wiki";"2/9/2018";"27/5/2019";"2";"2"
"sélection définitive des idées à mettre en œuvre au NND";"30/9/2018";"10/10/2018";"2";"2"
"choix des entreprises/prestataires pour NND";"10/10/2018";"10/11/2018";"2";"2"
"Préparation Audit Interne";"15/10/2018";"7/1/2019";"2";"2"
"validation des ent/presta/";"10/11/2018";"20/11/2018";"2";"2"
"finalisation de l'organisation du NND";"10/11/2018";"20/2/2019";"2";"2"
"Bilan de faisabilité et avancée NND";"1/11/2018";"15/1/2019";"2";"2"
"Réfléxion/mise en oeuvre sur la JVIP";"1/10/2018";"1/12/2018";"2";"2"
"Gestion respos JVIP";"1/12/2018";"28/4/2019";"2";"2"
"sélection définitive des idées pour le RAID";"10/12/2018";"15/12/2018";"2";"2"
"choix des entreprises/presta et retape pour le RAID";"15/12/2018";"1/1/2019";"2";"2"
"Audit Interne";"1/1/2018";"7/4/2019";"2";"2"
"Préparation audit externe";"17/2/2019";"7/4/2019";"2";"2"
"bilan de faisabilité et avancée RAID";"3/3/2019";"20/4/2019";"2";"2"
" rapport de passation";"16/5/2018";"30/6/2019";"2";"2"
"choix des projets pour le RAID";"20/6/2018";"10/12/2018";"2";"2"
"Réfléxion/mise en oeuvre sur la journée environnement";"1/7/2018";"1/12/2018";"2";"2"
