nom;debut;fin;niveau;ressources
Media;;;1;
Réalisation film asso;01/08/2017;10/09/2018;2;Com' Int
Réalisation de contenu vidéo pour les partenaires;02/09/2017;27/05/2018;2;Entreprise, Com
Relations avec Hyris et Pics;03/09/2017;01/06/2018;2;
Mise à jour du compte youtube et dailymotion;03/09/2017;27/05/2018;2;
Présentation des prestations médias pour les entreprises;03/09/2017;29/10/2017;2;Buro
Réalisation de différents montages internes (SER, WEN...);03/09/2017;13/05/2018;2;
Formation Utilisation CMS Site Externe;17/09/2017;20/10/2017;2;Info, Entreprises, Com
Animation du logo du raid;19/09/2017;31/10/2018;2;
Réalisations de vidéos pour la SdL;01/10/2017;16/12/2017;2;
Préparation audit interne;30/10/2017;26/11/2017;2;Enviqua, Tous
Réalisation du générique NND;31/10/2017;16/02/2018;2;
Réalisation de teasers pour la com' extérieure;05/11/2017;31/12/2017;2;Com
Formation respos NND;15/12/2017;26/02/2018;2;Log, Entreprise, Iti, Com
Audit interne;15/12/2017;10/01/2018;2;Enviqua, Tous
Préparation Semaine Raid;17/12/2017;04/02/2018;2;Com'int, Design
Préparation cérém' prologue;03/01/2018;16/02/2018;2;Com
Réalisation du générique Raid;01/03/2018;15/04/2018;2;
Préparation des cérém' du raid;11/03/2018;15/04/2018;2;Com
Préparation audit externe;13/03/2018;31/03/2018;2;Tous, Enviqua
Mise à jour site externe;03/09/2017;27/05/2018;2;Info
