nom;debut;fin;niveau;ressources
Com;;;1;
Design site externe;01.09.2018;31.10.2018;2;Info
Trier base de données;01.08.2018;01.11.2018;2;Presse
Création plan de com annuel ;01.09.2018;30.09.2018;2;
Gestion des réseaux sociaux (Facebook, Twitter, LinkedIn, Instagram);01.08.2018;31.05.2019;2;Entreprise
Préparation du petit déjeuner entreprises;01.09.2018;05.10.2018;2;Entreprise, VP MCDEC, Design
Benchmark affiches;01.08.2018;30.08.2018;2;Presse
Réalisation de contenu vidéo (pour les partenaires);02.09.2018;27.05.2019;2;Media, Entreprise
Gestion du wiki;02.09.2018;27.05.2019;2;Info, Inno
Formations GPA Tweet;27.09.2018;27.04.2019;2;
Recherche parrains et interviews (NND & Raid);01.10.2018;25.03.2019;2;VP MCDEC, Presse
Formation par les respos enviqua;30.10.2018;26.11.2018;2;Enviqua
Préparation audit interne;15.10.2018;07.01.2019;2;Enviqua, Tous
Stratégie RCS tour;11.09.2018;26.11.2018;2;Concurrents
Préparation soirée de lancement;01.11.2018;05.12.2018;2;Design, Entreprise, Concurrents
Formation Utilisation CMS Site Externe;06.11.2018;06.12.2018;2;Concs, Com, Media, Info
Bandeaux facebook/hyperplanning;15.11.2018;30.12.2018;2;VP MCDEC, Design
Retape Soirée de Lancement;15.11.2018;03.12.2018;2;
Direct Soirée de lancement;03.12.2018;03.12.2018;2;
Raid CS Tour;04.12.2018;30.03.2019;2;Concurrents
Relance des équipes du raid 2018;04.12.2018;30.03.2019;2;Concurrents
Formation respos NND;14.12.2018;21.02.2019;2;Log, Entreprise, Iti
Audit interne;01.01.2019;10.01.2019;2;Enviqua, Tous
Livret Concs Raid;15.02.2019;25.03.2019;2;VP MCDEC, Prez, Concurrents,  Enviqua, Entreprise, Design
Mise en place des contreparties sponsoring NND;15.02.2019;17.03.2019;2;Sponsoring
Prospection Raid;20.02.2019;16.04.2019;2;
Préparation audit externe;13.03.2019;31.03.2019;2;Tous, Enviqua
Mise en place des contreparties sponsoring Raid;08.04.2019;11.05.2019;2;Sponsoring
Préparation Vernissage;08.05.2019;01.06.2019;2;Design, Entreprise, Sec'Gen
Raidbook;01.05.2019;01.06.2019;2;Design, Com'Int
Rapport de passation;13.05.2019;10.06.2019;2;
Préparation CDMGE  (prospection, logisique);28.05.2019;05.06.2019;2;Log, Entreprise
Réalisation de teasers pour la com' extérieure;05.11.2018;01.04.2019;2;Media
Préparation cérém' NND;08.01.2019;26.02.2019;2;Media
Préparation des cérém' du raid;19.03.2019;27.04.2019;2;Media
Affiche du Raid;15.10.2018;01.12.2018;2;Buro, Design
Affiche NND;15.10.2018;01.12.2018;2;Buro, Design
Livrets Concs NND;29.01.2019;10.02.2019;2;VP MCDEC, Prez, Design, Concs, Enviqua, Entreprise
Mise à jour site externe;01.09.2018;01.06.2019;2;Concurrents, Media, Info
