nom;debut;fin;niveau;ressources
Com;;;1;
Trier base de données;01/08/2017;01/11/2017;2;
Création plan de com annuel ;01/09/2017;30/09/2017;2;
Gestion des réseaux sociaux (Facebook, Twitter, LinkedIn, Instagram);01/08/2017;31/05/2018;2;Concurrents, Entreprise
Préparation du petit déjeuner entreprises;01/08/2017;02/10/2017;2;Entreprise, VP MCDEC, Design
Rédaction d'articles (JDGEU, LPE...);02/09/2017;31/05/2018;2;
Rédaction d'articles pour le site interne / externe;02/09/2017;31/05/2018;2;info
Mise à jour Presse Book (recenser citations medias);02/09/2017;31/05/2018;2;
Inscription sur les sites spécialisés;02/09/2017;16/12/2017;2;
Réalisation de contenu vidéo (pour les partenaires);02/09/2017;31/05/2018;2;Media, Entreprise
Renouvellement contrats (JDGEU, L'Etudiant, Le Figaro Etudiant);02/09/2017;15/10/2017;2;
Mise a jour site externe  : création d'un onglet presse;02/09/2017;17/12/2017;2;Info
Recherche partenariats journaux Etudiants;02/09/2017;08/04/2018;2;
Gestion du wiki;02/09/2017;27/05/2018;2;Info, Com'Int
Formations GPA Tweet;27/09/2017;27/04/2018;2;
Formation Utilisation CMS Site Externe;17/09/2017;20/10/2017;2;Info, Entreprises, Media, Design
Articles WER, SER, raideur de la semaine par GPAs;23/09/2017;01/11/2017;2;
Mise à jour du dossier de presse;01/10/2017;15/03/2018;2;
Recherche parrains et interviews (Prologue & Raid);01/10/2017;25/03/2018;2;VP MCDEC
Mise à jour de l'article Wikipédia;28/10/2017;15/12/2017;2;Info
Communiqué de presse Soirée de Lancement;29/10/2017;01/12/2017;2;
Formation par les respos enviqua;30/10/2017;26/11/2017;2;Enviqua
Préparation audit interne;30/10/2017;26/11/2017;2;Enviqua, Tous
Stratégie RCS tour;05/11/2017;26/11/2017;2;Concurrents
Préparation soirée de lancement;09/11/2017;03/12/2017;2;Design, Entreprise, Concurrents
Retape Soirée de Lancement;15/11/2017;03/12/2017;2;
Soirée de lancement;03/12/2017;03/12/2017;2;
Retour et CR Soirée de Lancement;03/12/2017;10/12/2017;2;
Raid CS Tour;03/12/2017;25/02/2018;2;Concurrents
Relance des équipes du raid 2016;03/12/2017;14/01/2018;2;
Formation respos NND;15/12/2017;26/02/2018;2;Log, Entreprise, M‚dia, Iti
Préparation de l'audit interne / externe;15/12/2017;10/01/2018;2;Enviqua
Audit interne;15/12/2017;10/01/2018;2;Enviqua, Tous
Retape Journalistes Prologue;01/01/2018;16/02/2018;2;
Livret Concurrents Raid;15/02/2018;25/03/2018;2;VP MCDEC, Prez, Concurrents,  Enviqua, Entreprise, Design
Prospection Raid;20/02/2018;16/04/2018;2;
Préparation audit externe;13/03/2018;31/03/2018;2;Tous, Enviqua
Gestion du live tweet;16/04/2018;21/04/2018;2;
Retour et CR Raid + journal du Raid;16/04/2018;24/04/2018;2;
Préparation Vernissage;03/05/2018;03/06/2018;2;Design, Entreprise, Sec'Gen
Raidbook;06/05/2018;03/06/2018;2;Design, Com'Int
Rapport de passation;13/05/2018;10/06/2018;2;
Préparation CDMGE  (prospection, logisique);28/05/2018;05/06/2018;2;Log, Entreprise
Retour et CR CDMGE;06/06/2018;13/06/2018;2;
Réalisation de teasers pour la com' extérieure;05/11/2017;31/12/2017;2;Media
Préparation cérém' prologue;03/01/2018;16/02/2018;2;Media
Préparation des cérém' du raid;11/03/2018;15/04/2018;2;Media
