nom;debut;fin;niveau;ressources
Concurrents;;;1;
Gestion de la ML mail@raidcs.com;01/09/2018;25/05/2019;2;Entreprise
Mise ‡ jour site externe;01/09/2018;01/06/2019;2;Info
PrÈparation 1Ëre RdB secteur, implication des GPAs;01/09/2018;30/09/2018;2;
DÈcider les moyens de com' pour le NND;15/09/2018;15/11/2018;2;Com
Stand ‡ la coupe de l'X;17/10/2018;18/10/2018;2;
VÈrification du site des inscriptions;15/09/2018;01/02/2019;2;Info, Entreprise
AmÈlioration de la BDD des concurrents;11/09/2018;30/11/2018;2;
Mise en place des fiches Ecole;01/09/2018;01/12/2018;2;
Mise ‡ jour des rËglements (NND et Raid);16/10/2018;16/11/2018;2;Buro
Mise ‡ jours des dossiers d'inscription;16/10/2018;20/11/2018;2;
PrÈparation audit interne;15/10/2018;07/01/2019;2;Enviqua, Tous
PrÈparation RCS Tour ou Èquivalent, campagne d'affichage;06/11/2018;01/12/2018;2;
StratÈgie RCS tour, contact club Raid;11/09/2018;26/11/2018;2;Com
Invitation des anciens concurrents Ètudiants ‡ la SdL;01/11/2018;05/12/2018;2;Design Entreprise Com
RCS Tour ou Èquivalent en club Raid;04/12/2018;30/02/2019;2;Com
PremiËre vague de com' (mailings, pas de segmentation, pour le NND) ;15/12/2018;25/12/2018;2;Com
DÈbut de la NL entraÓnement pour faire de la pub aussi ;15/12/2018;30/03/2019;2;MÈdia
Gestion des inscriptions Raid;04/12/2018;20/04/2019;2;
Relance des Èquipes du raid 2018 ;04/12/2018;30/03/2019;2;Com
Relance des Èquipes engagÈes dans l'inscription NND ;11/12/2018;16/02/2019;2;
Relance des Èquipes engagÈes dans l'inscription RAID ;11/12/2018;10/04/2019;2;
Audit interne;01/01/2019;10/01/2019;2;Enviqua Tous
PrÈparation du QdS du NND;01/02/2019;14/02/2019;2;Enviqua Info Buro
Dossards et plaques VTT NND;12/02/2019;23/02/2019;2;Design, Achats
Livret concurrents Raid;15/02/2019;25/03/2019;2;VP MCDEC, Prez, Respos Jour, Com, Enviqua, Entreprise, Design
Dossard du Raid;19/03/2019;13/04/2019;2;Design, Achats, Entreprise
QdS Raid;02/04/2019;15/04/2019;2;Buro, Enviqua
RÈalisation des fichiers pour les respos (VTT, tÈlÈphones);19/03/2019;20/04/2019;2;
PrÈparation audit externe;01/03/2019;01/04/2019;2;Tous Enviqua
T-shirt finisher raid;19/02/2019;03/04/2019;2;Achat Design Entreprise
SynthèËse par secteur du QdS NND;19/03/2019;13/04/2019;2;
Nommer et briefer les correspondants d'Èquipe;03/04/2019;18/04/2019;2;
Gestion de l'arrivÈe des concurrents;03/04/2019;02/04/2019;2;
PrÈparation du panneau concurrents;16/04/2019;23/04/2019;2;Iti
DÈpouillement et synthèËse du questionnaire de satisfaction;28/05/2019;15/07/2019;2;
Livrets Concs NND;29/01/2019;10/02/2019;2;VP MCDEC, Prez, Com, Design, Enviqua, Entreprise
Roadbook NND;01/01/2019;15/02/2019;2;VP MCDEC, Prez, Entreprise, Design, Enviqua
