nom;debut;fin;niveau;ressources
Entreprise;;;1;
Offre commerciale;04/08/2017;15/09/2017;2;Design
Débriefings (première série de RDV);01/06/2017;31/09/2017;2;
Rechercher de sponsors;01/09/2017;01/04/2018;2;Log
Recherche de nouveaux partenaires;01/09/2017;15/06/2018;2;
Gérer la ml mail@raidecp/net;01/09/2017;01/06/2018;2;Concurrents
Gestion Réseau Linked in;01/09/2017;01/06/2018;2;Com, Concurrents
Préparation Diner Club Esprit Raid;01/09/2017;01/10/2016;2;Design
Préparation du petit dejeuner entreprises;01/09/2017;15/10/2017;2;VP MCDEC, Com, Design
Réalisation d'une vidéo de prospection, interview de Rh et de concurrents--> Profiter des Rdv débriefing, DCER…;01/09/2017;01/03/2018;2;Media, Com
Infos entreprise sur le site externe;01/09/2017;01/06/2018;2;Info
Finalisation de l'offre et signature des contrats (2ème série de RDV);15/09/2017;31/12/2017;2;
Formation Utilisation CMS Site Externe;15/09/2017;01/11/2017;2;Info, Design, Com, Media
Préparation du site des inscriptions;15/09/2017;01/02/2018;2;Info, Concurrents
Refloquer les parkas de l'édition 2017;15/09/2017;01/02/2018;;Achats
Parkas;12/10/2017;14/12/2017;2;Design, Achats
Gérer le sponsoring des activités du NND;01/10/2017;31/01/2018;2;POLIS, MCDEC, Dév événementiel
Préparation audit interne;15/12/2017;10/01/2018;2;Enviqua, Tous
Préparation soirée de lancement;01/11/2017;05/12/2017;2;Design, Concurrents, Com
T-shirt finisher NND;01/12/2017;07/02/2018;2;Design, Achats
Dossard RAID;28/02/2017;11/04/2018;2;Design, Achats, Concurrents
Audit interne;01/01/2018;10/01/2018;2;Enviqua, Tous
Formation respos NND;15/12/2017;20/01/2018;2;Log, Iti, Média, Com
Gérere les sponsoring des activités du Raid;01/01/2018;01/03/2018;2;POLIS, MCDEC, Dév événementiel
Journée environnement - Réfléchir aux actis à faire sur la journée environnement/ A voir avec l'entreprise et le partenaire environnement/;20/09/2017;15/03/2018;2;Enviqua, VP MCDEC
Préparation NND (Vips et Respos Vips);07/01/2018;16/02/2018;2;
Dossard NND;08/01/2018;09/02/2018;2;Design, Achats, Concurrents
Livret concurrents (descriptions des entreprises);08/01/2018;09/02/2018;2;Design
Sac actifun RAID;28/01/2018;01/04/2018;2;Achats
Préparation deuxième Diner Club Esprit Raid;04/02/2018;31/03/2018;2;Design
Préparation du Raid;25/02/2018;27/04/2018;2;
T-shirt finisher RAID;25/02/2018;01/04/2018;2;Design, Achats, Concurrents
Buff;01/03/2018;20/04/2018;2;Achats
Préparer commande éco-tasses/couverts - modalités du partenariat environnement;27/02/2018;15/03/2018;2;Enviqua, Design, Achats
Préparation audit externe;13/03/2018;31/03/2018;2;Tous, Enviqua
Débriefings année 2019 à commencer;15/05/2018;31/06/2018;2;
Préparation Vernissage;08/05/2018;01/06/2018;2;Design, Com, Sec'Gen
Préparation CDMGE  (prospection, logistique);28/05/2018;05/06/2018;2;Com, Log
Préparation Soirée de lancement CDMGE (Recruter des premières années, logistique);10/03/2018;25/03/2018;;
